Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Segment;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity
2698;CA-2014-145317;18/03/2014;23/03/2014;Standard Class;SM-20320;Home Office;Jacksonville;Florida;32216;South;TEC-MA-10002412;Technology;Machines;Cisco TelePresence System EX90 Videoconferencing Unit;22638,48;6
6827;CA-2016-118689;2/10/2016;9/10/2016;Standard Class;TC-20980;Corporate;Lafayette;Indiana;47905;Central;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;17499,95;5
8154;CA-2017-140151;23/03/2017;25/03/2017;First Class;RB-19360;Consumer;Seattle;Washington;98115;West;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;13999,96;4
2624;CA-2017-127180;22/10/2017;24/10/2017;First Class;TA-21385;Home Office;New York City;New York;10024;East;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;11199,968;4
4191;CA-2017-166709;17/11/2017;22/11/2017;Standard Class;HL-15040;Consumer;Newark;Delaware;19711;East;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;10499,97;3
9040;CA-2016-117121;17/12/2016;21/12/2016;Standard Class;AB-10105;Consumer;Detroit;Michigan;48205;Central;OFF-BI-10000545;Office Supplies;Binders;GBC Ibimaster 500 Manual ProClick Binding System;9892,74;13
4099;CA-2014-116904;23/09/2014;28/09/2014;Standard Class;SC-20095;Consumer;Minneapolis;Minnesota;55407;Central;OFF-BI-10001120;Office Supplies;Binders;Ibico EPK-21 Electric Binding System;9449,95;5
4278;US-2016-107440;16/04/2016;20/04/2016;Standard Class;BS-11365;Corporate;Lakewood;New Jersey;8701;East;TEC-MA-10001047;Technology;Machines;3D Systems Cube Printer, 2nd Generation, Magenta;9099,93;7
8489;CA-2016-158841;2/02/2016;4/02/2016;Second Class;SE-20110;Consumer;Arlington;Virginia;22204;South;TEC-MA-10001127;Technology;Machines;HP Designjet T520 Inkjet Large Format Printer - 24 Color;8749,95;5
6426;CA-2016-143714;23/05/2016;27/05/2016;Standard Class;CC-12370;Consumer;Philadelphia;Pennsylvania;19120;East;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;8399,976;4
2506;CA-2014-143917;25/07/2014;27/07/2014;Second Class;KL-16645;Consumer;San Francisco;California;94122;West;OFF-SU-10000151;Office Supplies;Supplies;High Speed Automatic Electric Letter Opener;8187,65;5
166;CA-2014-139892;8/09/2014;12/09/2014;Standard Class;BM-11140;Consumer;San Antonio;Texas;78207;Central;TEC-MA-10000822;Technology;Machines;Lexmark MX611dhe Monochrome Laser Printer;8159,952;8
684;US-2017-168116;4/11/2017;4/11/2017;Same Day;GT-14635;Corporate;Burlington;North Carolina;27217;South;TEC-MA-10004125;Technology;Machines;Cubify CubeX 3D Printer Triple Head Print;7999,98;4
6627;CA-2014-145541;14/12/2014;21/12/2014;Standard Class;TB-21400;Consumer;New York City;New York;10024;East;TEC-MA-10001127;Technology;Machines;HP Designjet T520 Inkjet Large Format Printer - 24 Color;6999,96;4
510;CA-2015-145352;16/03/2015;22/03/2015;Standard Class;CM-12385;Consumer;Atlanta;Georgia;30318;South;OFF-BI-10003527;Office Supplies;Binders;Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;6354,95;5
6521;CA-2017-138289;16/01/2017;18/01/2017;Second Class;AR-10540;Consumer;Jackson;Michigan;49201;Central;OFF-BI-10004995;Office Supplies;Binders;GBC DocuBind P400 Electric Binding System;5443,96;4
7667;US-2016-140158;4/10/2016;8/10/2016;Standard Class;DR-12940;Home Office;Providence;Rhode Island;2908;East;TEC-CO-10001449;Technology;Copiers;Hewlett Packard LaserJet 3310 Copier;5399,91;9
6341;CA-2017-143112;5/10/2017;9/10/2017;Standard Class;TS-21370;Corporate;New York City;New York;10035;East;TEC-MA-10001047;Technology;Machines;3D Systems Cube Printer, 2nd Generation, Magenta;5199,96;4
8859;CA-2017-135909;13/10/2017;20/10/2017;Standard Class;JW-15220;Corporate;Sacramento;California;95823;West;OFF-BI-10003527;Office Supplies;Binders;Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;5083,96;5
5885;CA-2016-136301;13/03/2016;15/03/2016;Second Class;EH-13765;Corporate;San Francisco;California;94109;West;OFF-SU-10000151;Office Supplies;Supplies;High Speed Automatic Electric Letter Opener;4912,59;3
8991;US-2015-128587;24/12/2015;30/12/2015;Standard Class;HM-14860;Corporate;Springfield;Missouri;65807;Central;TEC-CO-10003763;Technology;Copiers;Canon PC1060 Personal Laser Copier;4899,93;7
1086;US-2016-143819;1/03/2016;5/03/2016;Standard Class;KD-16270;Consumer;Yonkers;New York;10701;East;TEC-MA-10003979;Technology;Machines;Ativa V4110MDD Micro-Cut Shredder;4899,93;7
4219;CA-2017-149881;1/04/2017;3/04/2017;First Class;NC-18535;Corporate;San Francisco;California;94110;West;TEC-MA-10000418;Technology;Machines;Cubify CubeX 3D Printer Double Head Print;4799,984;2
1804;CA-2017-158379;22/09/2017;26/09/2017;Second Class;JA-15970;Consumer;Philadelphia;Pennsylvania;19134;East;OFF-SU-10002881;Office Supplies;Supplies;Martin Yale Chadless Opener Electric Letter Opener;4663,736;7
8205;CA-2015-114811;8/11/2015;8/11/2015;Same Day;KD-16495;Corporate;New York City;New York;10024;East;TEC-MA-10000045;Technology;Machines;Zebra ZM400 Thermal Label Printer;4643,8;4
2493;CA-2014-144624;19/11/2014;23/11/2014;Standard Class;JM-15865;Consumer;Jamestown;New York;14701;East;TEC-PH-10002885;Technology;Phones;Apple iPhone 5;4548,81;7
7819;CA-2016-138478;21/10/2016;26/10/2016;Second Class;DP-13390;Home Office;North Las Vegas;Nevada;89031;West;OFF-BI-10001120;Office Supplies;Binders;Ibico EPK-21 Electric Binding System;4535,976;3
7773;CA-2016-108196;25/11/2016;2/12/2016;Standard Class;CS-12505;Consumer;Lancaster;Ohio;43130;East;TEC-MA-10000418;Technology;Machines;Cubify CubeX 3D Printer Double Head Print;4499,985;5
9166;CA-2016-100300;24/06/2016;26/06/2016;Second Class;MJ-17740;Consumer;San Diego;California;92037;West;TEC-MA-10000984;Technology;Machines;Okidata MB760 Printer;4476,8;4
7244;CA-2017-118892;17/08/2017;22/08/2017;Second Class;TP-21415;Consumer;Philadelphia;Pennsylvania;19134;East;FUR-CH-10002024;Furniture;Chairs;HON 5400 Series Task Chairs for Big and Tall;4416,174;9
9742;CA-2015-117086;8/11/2015;12/11/2015;Standard Class;QJ-19255;Corporate;Burlington;Vermont;5408;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;4404,9;5
4298;CA-2017-129021;23/08/2017;26/08/2017;Second Class;PO-18850;Consumer;Tallahassee;Florida;32303;South;TEC-PH-10001459;Technology;Phones;Samsung Galaxy Mega 6.3;4367,896;13
354;CA-2016-129714;1/09/2016;3/09/2016;First Class;AB-10060;Home Office;New York City;New York;10009;East;OFF-BI-10004995;Office Supplies;Binders;GBC DocuBind P400 Electric Binding System;4355,168;4
